ClinicalCode	Description	FrequencyInData
ERIN24325NEMIS	Ergocalciferol  Injection  300,000 units/ml, 1 ml ampoule	7
EVTR31384EMIS	Evorel Sequi  Transdermal patches  	7
BESC26818EMIS	Betacap  Scalp application  0.1 %	6
OPDR38763NEMIS	Opsite Post-Op  Dressing  12 cm x 10 cm 	6
OAST13219NEMIS	Oakmed Option  Stoma Cap Mini Opaque  20-40mm, 1120K	5
BDDI18283NEMIS	Bd-Microfine +  Disposable syringe  1 ml, 0.30 x 8 mm needle	4
BDDI35111EMIS	Bd-Microfine +  Disposable syringe  0.5 ml, 0.30 x 8 mm needle	4
ELBA40535NEMIS	Elasticated Tubular  Bandage Bp  10 cm size F	4
ENPO21354NEMIS	Enshake  Powder (Strawberry) Sachets  6 x 96.5 gram sachets	4
EVTR31391EMIS	Evorel Conti  Transdermal patches  	4
OPDR1833NEMIS	Opsite Post-Op  Dressing  9.5 cm x 8.5 cm	4
OPLU46621NEMIS	Optilube  Sterile Lubricating Jelly  	4
ALOP19550EMIS	Alomide  Ophthalmic solution  0.1 %	3
BALE32858EMIS	Bard Urisleeve  Leg Bag Holder  large, 150131	3
BEVA30364EMIS	Begrivac  Vaccine  	3
BIMO14801NEMIS	Biotene Moisturising  Mouthwash  	3
ELKN9227NEMIS	Elastic Hosiery Knee cap Class III -  circular	3
ELST35223EMIS	Elasticated Viscose Stockinette 7.5 cm x 5 m (blue line)	3
ENPO21355NEMIS	Enshake  Powder (Chocolate) Sachets  6 x 96.5 gram sachets	3
ENPO21356NEMIS	Enshake  Powder (Banana) Sachets  6 x 96.5 gram sachets	3
EULO32813EMIS	Eucerin  Lotion  10 %	3
EXOP23565EMIS	Exocin  Ophthalmic solution  0.3 %	3
OPDR38764NEMIS	Opsite Post-Op  Dressing  20 cm x 10 cm 	3
ARTA29148EMIS	Arthrotec 75  Tablets  	2
BAFO27600NEMIS	Bard Statlock  Foley Catheter Stabilisation Device  for silicone or latex catheters, FOL0102DT	2
BEMO28661EMIS	Bettamousse  Mousse  0.12 %	2
BEMO28663EMIS	Betamethasone Valerate  Mousse  0.12 % (= 0.1 % betamethasone)	2
BIMI117796NEMIS	Bioxtra Dry Mouth  Mild Toothpaste  	2
BUTR47318NEMIS	Buchanan Lite  Laryngectomy Protector  Large, Blue, LA BLT 1002	2
EBTA31269NEMIS	Ebixa Treatment Initiation Pack  Tablets  	2
ELST34475EMIS	Elasticated Viscose Stockinette 7.5 cm x 3 m (blue line)	2
ELST35221EMIS	Elasticated Viscose Stockinette 10.75 cm x 5 m (yellow line)	2
ELST35222EMIS	Elasticated Viscose Stockinette 5 cm x 5 m (green line)	2
ERIN24326NEMIS	Ergocalciferol  Injection  300,000 units/ml, 2 ml ampoule	2
OIEM23897NEMIS	Oilatum Junior  Bath additive  	2
OSLI350NEMIS	Osmolite Plus  Liquid feed  	2
BAFO34996EMIS	Bard All Silicone  Foley catheter (female)  10ml 12 ch, d1661	1
BDLA10508BRIDL	Bd-Microfine +  Lancets  	1
BESC19374NEMIS	Betamethasone Dipropionate And Salicylic Acid  Scalp application  0.05 % + 2 %	1
BIAL16950NEMIS	Bioxtra Alcohol-Free Mouthrinse With Fluoride	1
BIDR11445NEMIS	Biatain Adhesive  Dressing  sacral, 23 cm x 23 cm	1
BIDR30900NEMIS	Biatain Ag  Dressing  (non-adhesive) rectangular, 5 cm x 7 cm	1
BIDR36864NEMIS	Biatain Adhesive  Dressing  square, 12.5 cm x 12.5 cm	1
BIMI16949NEMIS	Bioxtra Mild Anti-bacterial Toothpaste	1
DILO21623NEMIS	Dimeticone  Lotion  4 %	1
EASP127028NEMIS	Easychamber  Spacer device  with adult mask	1
EESO14842NEMIS	Eesiness  Soft Cervical Foam Collar  medium, 23562100	1
ELBA40537NEMIS	Elasticated Tubular  Bandage Bp  6.25 cm size B	1
ELCE47994NEMIS	Elcess  Cervical collar  Flesh, Small	1
ELIN19256EMIS	Elastic Band Truss  Inguinal  double	1
ELIN43541NEMIS	Elastic Band Truss  Inguinal  single right	1
ELKN9225NEMIS	Elastic Hosiery  Knee Cap  Class II -  circular knit	1
ELST28384EMIS	Elasticated Viscose  Stockinette  10.75 cm x 1 m (yellow line)	1
EMGL28748EMIS	Ema Film Disposable  Gloves  spec 21, medium	1
ESCTDI23-3	HONKS - Diabetic hyperosmolar non-ketotic state	1
EVEY125394NEMIS	Evolve  Eyelid Wipes  	1
EXTR22212NEMIS	Excilon Amd Iv Sponge  Tracheostomy Dressing Sterile  7088, 10 cm x 10 cm	1
ONTE47563NEMIS	Onetouch Verio  Test strips  	1
OPDR11041NEMIS	Opsite Plus  Dressing  8.5 cm x 9.5 cm	1
OPEY30882NEMIS	Opsil  Artificial Eye Lubricant  Standard	1
OPST19337NEMIS	Opus Clearway  Stoma Bridge Mini  8800	1
OXMA15529NEMIS	Oxygen  Mask  	1
DIRE874	Diastix  Reagent strips  	213
BESC348	Betamethasone Valerate  Scalp application  0.1 %	119
BESC358	Betnovate  Scalp application  0.1 %	4
EGTON53	T3 (Triiodothyronine)	3
DIGL938	Dispos-A-Glove  Gloves  medium	2
